Hospital,Region,PostalCode,Locality,Lat,Lng,Type
3House Kindergarten (Tampines),East,520891,"891, Tampines Ave 8",1.350312,103.92934010,Childcare
PCF Sparkletots Preschool @ Tampines-Changkat Blk 106 (DS),East,521106,"106, Tampines Street 11",1.358269,103.94983320,Childcare
Moppeteers Kinderworld,East,522497,"497C, Tampines Street 45",1.358269,103.95639930,Childcare
British Council (Singapore) Pre-school,East,528729,"11, Tampines Concourse",1.356413,103.93887650,Childcare
Soka Kindergarten,East,528888,"7, Tampines Street 92",1.344633,103.94115930,Childcare
Hope Community Kindergarten (Tampines),East,529151,"20, Tampines Street 43",1.361418,103.95000800,Childcare
Josiah Montessori Kindergarten,East,529284,"5, Tampines Street 32",1.324533,103.87506190,Childcare
Al - Amin Pre-School,East,529287,"2, Tampines Street 32",1.354358,103.95773120,Childcare
Church Of Holy Trinity Kindergarten,East,529455,"20, Tampines Street 11",1.348844,103.94710710,Childcare
Darul Ghufran Mosque Kindergarten,East,529651,"503, Tampines Avenue 5",1.355336,103.93775450,Childcare
Changi General Hospital,East,529889,"2, Simei Street 3",1.340400,103.94950000,Hospital
En-Naeem Mosque Kindergarten,East,535136,"120, Tampines Road",1.361000,103.89042130,Childcare
Cedan Kindergarten,East,820198,"198, Punggol Field",1.399460,103.90415130,Childcare
PCF Sparkletots Preschool @ Yew Tee Blk 608 (KN),West,680608,"608, Choa Chu Kang Street 62",1.416891,103.777307,Childcare
PCF Sparkletots Preschool @ Yew Tee Blk 690D (KN),West,684690,"690D, Choa Chu Kang Crescent",1.416891,103.777307,Childcare
PCF Sparkletots Preschool @ Marsiling Blk 32 (KN),North,730032,"32, Marsiling Drive",1.443378,103.770604,Childcare
PCF Sparkletots Preschool @ Marsiling Blk 302 (KN),North,730302,"302, Woodlands Street 31",1.430981,103.771735,Childcare
PCF Sparkletots Preschool @ Woodgrove Blk 364 (KN),North,730364,"364, Woodlands Avenue 5",1.434060,103.784551,Childcare
Putra - Putri Kindergarten,North,730408,"408, Woodlands Street 41",1.428852,103.770469,Childcare
Hanis Montessori Kindergarten (Woodlands),North,730424,"424, Woodlands Street 41",1.428852,103.770469,Childcare
PCF Sparkletots Preschool @ Admiralty Blk 501 (KN),North,730501,"501, Woodlands Drive 14",1.432983,103.789858,Childcare
PCF Sparkletots Preschool @ Admiralty Blk 581 (DS),North,730581,"581, Woodlands Drive 16",1.430134,103.794159,Childcare
PCF Sparkletots Preschool @ Woodlands Blk 652 (KN),North,730652,"652, Woodlands Ring Road",1.438101,103.797397,Childcare
